title,category,date,longitude,latitude,year,month
"RX KIS BU 55 Prescribed Fire, Natchitoches, Louisiana",Wildfires,2026-02-18 09:16:00+00:00,-93.136617,31.430717,2026,2
"RX CAT BU 63-64 Prescribed Fire, Grant, Louisiana",Wildfires,2026-02-18 09:15:00+00:00,-92.582292,31.548951,2026,2
"SHNF C-1/2/3/4 RX Prescribed Fire, Walker, Texas",Wildfires,2026-02-18 09:00:00+00:00,-95.7345,30.591333,2026,2
"Carman Springs RX S2 Prescribed Fire, Howell, Missouri",Wildfires,2026-02-18 08:58:00+00:00,-92.057,36.9085,2026,2
"Raven Rock D&amp;E RX Prescribed Fire, Cleburne, Alabama",Wildfires,2026-02-18 08:57:00+00:00,-85.506833,33.807167,2026,2
"RX CALV BU 121 Prescribed Fire, Vernon, Louisiana",Wildfires,2026-02-18 08:52:00+00:00,-93.057167,31.010417,2026,2
"Rock Pile RX Prescribed Fire, Howell, Missouri",Wildfires,2026-02-18 08:41:00+00:00,-92.026333,36.904333,2026,2
"IDNR - Siloam Springs State Park RX Prescribed Fire, Adams, Illinois",Wildfires,2026-02-18 08:36:00+00:00,-90.9399,39.8935,2026,2
"Compartment 158 RX Prescribed Fire, Putnam, Georgia",Wildfires,2026-02-18 08:05:00+00:00,-83.474,33.333,2026,2
"C-225 LC RX Prescribed Fire, McCormick, South Carolina",Wildfires,2026-02-18 07:26:00+00:00,-82.351211,34.021889,2026,2
"Stevens Wildfire, Texas, Oklahoma",Wildfires,2026-02-17 23:27:00+00:00,-101.31,36.9188889,2026,2
"Smith Wildfire, Harding, New Mexico",Wildfires,2026-02-17 19:31:00+00:00,-103.887294,35.796667,2026,2
"Side Road Wildfire, Texas, Oklahoma",Wildfires,2026-02-17 18:56:00+00:00,-101.1269444,36.9219444,2026,2
"LEVY Wildfire, Osceola, Florida",Wildfires,2026-02-17 17:57:00+00:00,-81.3416667,28.0833333,2026,2
"43 Wildfire, Woodward, Oklahoma",Wildfires,2026-02-17 17:21:00+00:00,-99.4369444,36.4219444,2026,2
"Lavender Wildfire, Oldham, Texas",Wildfires,2026-02-17 17:18:00+00:00,-102.2734346,35.4217811,2026,2
"Well Woman Comp 21 &amp; 31 RX Prescribed Fire, Winston, Alabama",Wildfires,2026-02-17 17:07:00+00:00,-87.266682,34.269135,2026,2
"8 Ball Wildfire, Armstrong, Texas",Wildfires,2026-02-17 16:46:00+00:00,-101.1061111,35.0425,2026,2
"Ranger Road Wildfire, Beaver, Oklahoma",Wildfires,2026-02-17 13:40:00+00:00,-100.5038889,36.8108333,2026,2
"RX Kleberg 1375 Prescribed Fire, Kleberg, Texas",Wildfires,2026-02-17 12:43:00+00:00,-97.60233308,27.34778549,2026,2
"DeSoto BB 9370 C506 W RX Prescribed Fire, Jackson, Mississippi",Wildfires,2026-02-17 10:18:00+00:00,-88.86195,30.698133,2026,2
"Miller Creek 06/08 RX Prescribed Fire, Escambia, Alabama",Wildfires,2026-02-17 09:58:00+00:00,-86.742073,31.075666,2026,2
"RX CALE BU 17 Prescribed Fire, Rapides, Louisiana",Wildfires,2026-02-17 09:17:00+00:00,-92.62855,31.246967,2026,2
"RX KIS BU 50 Prescribed Fire, Natchitoches, Louisiana",Wildfires,2026-02-17 08:53:00+00:00,-93.0008,31.451217,2026,2
"Mann Camp C/D RX Prescribed Fire, Clay, Alabama",Wildfires,2026-02-17 08:20:00+00:00,-85.925,33.390278,2026,2
"Compartment 139 RX Prescribed Fire, Jasper, Georgia",Wildfires,2026-02-16 15:50:00+00:00,-83.545453,33.198357,2026,2
"Rx Anderson 1274 Prescribed Fire, Anderson, Texas",Wildfires,2026-02-16 14:35:00+00:00,-95.6354,31.9688,2026,2
"RX Brown 1269 Prescribed Fire, Brown, Texas",Wildfires,2026-02-16 14:18:00+00:00,-98.95305556,31.62638889,2026,2
